param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
{'lr': 0.0005},0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0
{'lr': 0.001},1.62,27.73,94.95,1.69,25.9,93.34,1.69,25.9,93.34
