param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,99.87,99.87,1.16,69.5,91.0,1.16,69.5,91.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",4.51,2.99,11.46,4.63,1.5,5.5,4.63,1.5,5.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",4.51,3.39,10.03,4.57,1.0,9.5,4.6,1.5,6.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",4.44,2.86,10.81,4.45,3.5,12.0,4.45,3.5,12.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",4.6,1.43,6.12,4.6,1.0,5.0,4.61,2.0,6.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,99.87,100.0,0.73,83.5,97.0,0.73,83.5,97.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.66,82.5,97.5,0.66,82.5,97.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.0,100.0,100.0,1.76,61.0,85.5,1.76,61.0,85.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.0,100.0,100.0,1.43,69.0,91.0,1.43,69.0,91.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",3.96,8.85,27.08,4.48,3.5,13.0,4.48,3.5,13.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",3.56,16.02,41.54,4.61,4.0,16.0,4.61,4.0,16.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",4.57,2.21,8.46,4.57,2.0,8.5,4.61,2.0,9.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",4.32,5.99,18.1,4.57,1.5,12.0,4.61,2.5,6.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",4.6,1.17,5.21,4.6,1.0,4.0,4.61,1.0,6.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",4.57,2.08,8.33,4.59,2.0,7.5,4.6,2.0,5.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,1.02,79.0,93.5,1.02,79.0,93.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,1.05,75.0,93.5,1.05,75.0,93.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",4.41,2.47,12.5,4.47,2.0,11.5,4.47,2.0,11.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",4.37,2.99,14.71,4.49,2.5,13.5,4.49,2.5,13.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",4.6,1.43,5.86,4.61,1.0,5.0,4.61,1.0,5.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",4.49,2.6,10.16,4.61,2.0,6.5,4.61,2.0,6.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",4.34,4.3,17.06,4.53,1.5,9.5,4.6,2.0,4.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",4.37,3.52,15.36,4.44,3.5,12.5,4.44,3.5,12.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",4.43,3.39,13.15,4.53,3.0,10.0,4.53,3.0,10.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",4.6,0.78,6.38,4.6,2.5,7.0,4.6,2.5,7.0
