param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.66,81.5,96.5,0.66,81.5,96.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.83,77.0,94.5,0.83,77.0,94.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.85,73.5,95.0,0.85,73.5,95.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.8,76.5,95.5,0.8,76.5,95.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",2.16,42.19,73.44,5.66,5.5,20.5,5.66,5.5,20.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.16,98.31,99.87,6.53,10.0,28.0,6.53,10.0,28.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.03,100.0,100.0,0.9,79.0,93.5,0.9,79.0,93.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.03,100.0,100.0,0.83,74.5,95.0,0.83,74.5,95.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",3.89,7.42,25.65,4.62,1.5,12.5,4.62,1.5,12.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",3.56,11.33,35.94,4.85,5.0,16.5,4.85,5.0,16.5
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.09,99.74,100.0,0.48,88.5,98.0,0.48,88.5,98.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.09,99.61,99.87,0.47,87.0,97.5,0.47,87.0,97.5
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.56,87.5,98.0,0.56,87.5,98.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.57,86.0,97.5,0.57,86.0,97.5
