run_idx,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
0,0.16,98.65,99.9,0.94,73.73,93.68
run_idx,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
0,0.02,99.69,99.9,1.14,72.31,92.77
