param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
{'drop_path_rate': 0},1.64,61.42,82.56,0.8,77.05,95.29,0.81,77.15,95.23
{'drop_path_rate': 0.1},2.4,47.63,70.91,0.89,75.07,94.44,0.89,75.23,94.44
