param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
{'drop_path_rate': 0},1.74,59.87,80.89,0.83,76.44,94.96,0.83,76.8,94.77
{'drop_path_rate': 0.1},2.75,42.1,64.94,0.94,73.8,93.89,0.94,73.84,93.82
