param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.46,85.0,99.5,0.46,85.0,99.5
"{'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.41,88.5,99.0,0.41,88.5,99.0
"{'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.85,66.0,87.0,1.85,66.0,87.0
"{'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.66,69.5,90.0,1.66,69.5,90.0
