param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
{'drop_path_rate': 0},1.63,62.08,82.5,0.81,77.15,95.16,0.81,77.29,95.14
{'drop_path_rate': 0.1},2.43,46.78,70.41,0.9,74.68,94.37,0.9,74.79,94.35
