param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.001, 'wd': 0.0001}",0.42,97.14,99.87,1.03,80.5,93.0,1.03,80.5,93.0
"{'lr': 0.001, 'wd': 0.001}",0.41,96.48,99.48,1.04,80.0,94.0,1.04,80.0,94.0
"{'lr': 0.01, 'wd': 0.0001}",0.05,99.09,99.87,0.92,77.0,93.0,0.92,77.0,93.0
"{'lr': 0.01, 'wd': 0.001}",0.06,98.96,99.87,0.93,77.5,92.0,0.93,77.5,92.0
