param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
{'lr': 0.0005},1.29,43.53,99.23,1.29,43.86,99.24,1.29,43.86,99.24
{'lr': 0.001},1.25,45.36,99.42,1.24,46.16,99.43,1.24,46.16,99.43
